Bodemtype,GVG,Starting_heads,GHG,GLG,Landgebruik,Base_impermeable_2,KD_l1,AHN,soil_rootzone_thickness,base_impermeable_layer_1,GHG_ERROR,U_matrix,X,Y,XY,Total features
161.57175355367278,1.012056570040703,6.644751686187744,0.8088959324836729,1.574696037653923,1.0080577344532013,,18.800143915771486,763.3729970249024,24.90807725072861,,-0.04013478530883785,0.11796460392358012,50,0,50,5.0
162.0179242769394,0.8434161705226899,7.814578679840087,0.624109695953369,1.4706485141763685,1.0053329517965324,,24.645118147155756,873.5391515478516,24.806309250221254,,0.06205895393610006,0.10793704762395322,51,0,51,5.0
158.5720878477707,0.7610171905050276,8.928367692504883,0.548363583076477,1.3616481425352098,1.0024599296689036,,34.996592025695804,980.200683090332,26.081005683555603,,0.0370920893907547,0.09879150002156238,52,0,52,2.0
155.07106276383973,0.7414226608047483,10.002434932250976,0.5496170648498535,1.2586439855489733,1.0039493834009168,,36.232323227233884,1083.5036176098633,27.210958773059843,,-0.002935500581264572,0.07927330986026315,53,0,53,4.0
153.76068598666382,0.679249058760643,10.854558992370606,0.49636967074203486,1.1607686662549974,1.0073588912329665,,25.418035691711424,1162.3054825427246,27.29717805560112,,0.0003524042654037274,0.07215117324570157,54,0,54,4.0
153.31784489566041,0.6559586502876282,11.672625640014648,0.4702575989017488,1.148763666264534,1.0108319302668587,,14.459157924621579,1239.2417913652343,27.227731094551086,,-0.0302251108086109,0.06978272911861533,55,0,55,7.0
153.31609683872222,0.7374464050216671,12.545590271575929,0.5445839518108371,1.258901684501648,1.0144955629062657,,9.618664211242674,1329.983513416504,27.466900817737578,,-0.06404103538751604,0.07356959770658328,56,0,56,2.0
152.8243933942566,0.8583908517570493,13.663381148956299,0.6629036777763369,1.3903281503658294,1.0328207851257325,,8.465533692749034,1449.4789385520019,27.631012910051346,,-0.01362649440526964,0.08682404168103972,57,0,57,4.0
149.47087101958465,0.894113431756973,15.11469241921997,0.7010837093429565,1.4162300377798078,1.1231550951189995,,9.311058643005367,1594.7807265270997,28.29068443005562,,0.07458481078743928,0.09417534917503154,58,0,58,2.0
146.61637728035737,0.7929037032270432,16.114030476013184,0.5965267016239166,1.3283861216192245,1.2338052716560357,,11.71288039459229,1686.8441325,29.147266585645678,,0.13685702150702483,0.07352824307984002,59,0,59,3.0
329.408360562355,0.7691098905763623,5.796415741333008,0.5550019202232361,1.3755387446184157,1.1353460268497475,,85.03074565643311,668.8077789838867,30.921849824991227,,0.25003872662663473,0.27406566421197387,0,1,60,2.0
330.1256465926514,0.7083827790174482,5.440356656372071,0.4863737931308747,1.3464124776258466,1.0680170709447854,,44.26207771789551,626.5511450114745,28.366577692604064,,0.24710082455396654,0.2269853430217419,1,1,61,
332.28699413549043,0.7078857470445632,4.436173612030029,0.470251203586578,1.4084362157964707,1.0225075533604624,,12.968754295776364,526.4503511318359,26.77565435798645,,0.22014707557439794,0.16941630494670396,2,1,62,4.0
333.49573388783267,0.7644645532913206,2.8956575710144037,0.51801781259346,1.5002524670324326,1.0145943892202371,,2.739385774780274,380.08018956958006,26.53579822306633,,0.1297367630541324,0.14324474180628616,3,1,63,2.0
330.60153428386684,0.8006841652641299,1.4412944335937485,0.5641791974925994,1.496707535098076,1.0189780421471593,,1.6833774204712029,241.43152302636713,26.641953289871218,,0.002268581068515685,0.12381144645668167,4,1,64,4.0
324.1906603243332,0.7689951908903123,0.3687234400024426,0.5453705755767824,1.4134896294050217,1.0357996925897606,,2.4915837256469757,133.81188239526364,27.030671239023206,,-0.03796052565217023,0.11014571485368807,5,1,65,3.0
314.98780647131343,0.6888710879793165,-0.2769899005737315,0.46344019293022143,1.3405859671592713,1.1120653708868034,,3.059326794738766,65.32719837939453,28.01450816123009,,-0.01081940145015714,0.10461314199457461,6,1,66,8.0
301.58578688957977,0.6197008050861359,-0.6187396473083506,0.3870801297969817,1.3001837996520993,1.2183601305866247,,2.5196898181762606,29.494216477050713,29.863671527633667,,0.005609516638517387,0.1301341057758708,7,1,67,9.0
283.5480035486221,0.5990612338018417,-0.852023422790527,0.36935871146011356,1.267896006484032,1.1713470412254328,,1.6621417061157189,7.435356526855458,32.42294275446892,,-0.0038476290225982757,0.159362706619945,8,1,68,4.0
260.7613321922989,0.5854310877761839,-1.2179981072692865,0.36532326758766187,1.215853388724327,1.049868324285983,,1.2091651815185571,-30.833874768798978,33.607032838964464,,0.017834866057634402,0.14757893883217116,9,1,69,
