Bodemtype,GVG,Starting_heads,GHG,GLG,Landgebruik,KD_l1,AHN,soil_rootzone_thickness,GHG_ERROR,U_matrix,X,Y,XY,Total features
31.362532548461914,0.26066207291746135,-1.9033815584468847,0.051680488097190835,0.8465886743164062,1.0053561716203694,10.19288631790161,-159.54457872314447,23.514133265800478,0.13741724676638845,0.18361237969043487,15,0,15,2.0
30.21273268618775,0.29101581073689475,-1.7513889085731495,0.0882196844654084,0.8521995348416567,1.0194781033363345,12.435469508544912,-142.29227885327145,23.398861514577867,0.03839291823983193,0.18307662353873924,16,0,16,1.0
21.861383271636967,0.3896897503654957,-1.7332881097717294,0.20259545880985264,0.8880631512084005,1.0805739631085398,10.308900066833488,-135.62752069360363,25.256081137304307,-0.04673737412303686,0.13712674339960315,17,0,17,1.0
19.095440919281003,0.4548847486205101,-1.9527253426151265,0.266876787964344,0.9569094492646456,1.1152184142966277,5.062833187713622,-152.05855280615242,26.387118724708557,-0.09858390534996986,0.10500863839275744,18,0,18,2.0
21.350283541992198,0.4138010130653381,-1.9200190073966965,0.21063934231615067,0.9764464616912604,1.0669164731345182,2.244522412048326,-151.52681031811517,25.8599829425621,-0.16120388023614884,0.12082481677071205,19,0,19,1.0
23.362413908813465,0.3422544748458862,-1.8054489667854305,0.13310762294197076,0.9288414185630083,1.0166696821780201,3.2121519257202067,-143.16937011022947,24.999685347146986,-0.23470093469500541,0.17428312989873368,20,0,20,3.0
28.65057796539307,0.3431944155087471,-2.3987953884639754,0.14230717958021166,0.8967471394662858,1.001807546435833,6.224916714111316,-189.21240337597646,23.706416473245618,-0.3742682296353579,0.2879570429719832,21,0,21,
35.0378119975891,0.39265829714250555,-3.458605546916962,0.21287297952461237,0.861803304150343,1.0000513760991092,5.335428073913562,-284.9780900782471,22.73551035572052,-0.6157770121470094,0.3258401937480825,22,0,22,1.0
37.85355341299437,0.5250094778625964,-3.6465760976009367,0.3563159256772995,0.9497865392934084,1.0000005777835845,3.4441794235839893,-315.5173290219727,23.175490113048554,-0.7834202569520473,0.27458844225933704,23,0,23,2.0
42.08639620355224,0.860169712070942,-2.791877256565094,0.6793943124113083,1.3332705194078684,1.0000513760991092,4.174841499115004,-224.7587263885498,23.518360169382095,-0.834550719460249,0.30271453933076214,24,0,24,1.0
43.27792799093628,1.0280105933041572,0.03332934770774898,0.8453091233606338,1.5088192639715672,1.0009294612674715,9.552640118957527,80.76423326818849,24.292183498620986,-0.753811945618391,0.33143988255806694,25,0,25,1.0
41.25486044671631,0.8769617321829796,2.987702208309173,0.7047912257556915,1.3156358259989025,1.0068873779883383,19.100646503631594,376.39413339660643,25.05537139304161,-0.6703415338113905,0.2926803811790735,26,0,26,1.0
36.27526441632081,0.7150281995460988,5.316078236211776,0.5510428633298874,1.120963872423768,1.0230484992275235,25.97719306451416,603.2192048238525,25.320548234510422,-0.5860872421324252,0.2778507874162735,27,0,27,1.0
30.98787604608154,0.6027647802495957,7.794032852767945,0.4514198542766571,0.9581390925884247,1.0269889971318245,28.542519019927973,860.3327825269776,25.23472845663071,-0.4749746159502864,0.2258615892984591,28,0,28,
