key,som_key,lon,lat
22AP7610001,5,221692.0,516324.0
B17D0104001,49,232160.0,535050.0
B52C0485001,831,185980.0,380300.0
B45E0438001,2914,168306.0,412684.0
B26G1791001,1052,168947.0,480650.0
MAAS020001,2498,170082.0,411688.0
B45G1039001,1925,168905.0,408430.0
HOLT002001,1620,197799.0,398143.0
B32D0139001,2656,154098.0,455037.0
B32C0333001,2521,146997.08,456692.58
B41D0068001,2871,231730.0,431960.0
B22C0159001,443,222613.23,505670.38
DEUR002001,2992,187151.0,383266.0
B39F0558001,492,172660.0,446170.0
5238_PBF001,616,116055.0,390807.0
B50B0493001,1778,118429.0,388703.0
B32C0330001,2836,146541.24,456023.21
B41B0468001,290,235074.0,441893.0
B41A0179001,2805,220588.94,440980.58
21GC912A001,2983,209675.0,500187.0
B06H1508001,1523,210240.0,578386.0
B39E0350001,977,169220.0,447300.0
HOLT001001,642,197700.0,398828.0
B23A0778001,45,263892.0,523582.0
27HC005A001,2371,210910.0,482910.0
10-686002,1627,55113.0,427717.0
Brongebied Vl Aa-PB24001,1867,214959.0,544451.0
B33G1149001,215,202398.0,460924.0
B17B0262001,1777,238717.0,547062.0
Brongebied Vl Aa-PB20001,1533,217742.0,546108.0
VILT111001,2445,192621.0,410033.0
B33D0207001,2346,198140.0,462265.0
B34A0117001,2724,226415.0,466355.0
B27H0065001,1109,210669.39,478538.04
MUIS001001,2572,177510.0,389679.0
B45B0496001,1983,155865.0,413640.0
B41A0193001,2930,224390.0,441130.0
B17E2224001,2457,241674.0,545386.0
DYNA001001,1692,158205.0,407585.0
B26G1795001,1161,168112.0,479472.0
B27B0294001,2888,193950.0,494350.0
B17E2223001,1846,241539.0,545603.0
B52A0209001,472,182688.0,388072.0
B45G0339001,2738,167650.0,412140.0
2191_PBF2001,1284,127703.0,410270.0
B17C1753001,1596,222019.0,535048.0
B12C1569001,1543,229628.0,553279.0
B21D0971001,849,197232.0,503256.0
B27D0545001,312,193917.0,479232.0
KARL001001,2973,169839.0,411942.0
MAAS011001,2973,167939.0,413494.0
KARL002001,2973,169901.0,411895.0
NPD-PB11001,489,219995.0,533058.0
B37B0232001,121,70386.2,443957.6
NPD-PB21001,1422,227409.0,536296.0
B16H1499001,2656,213590.0,536238.0
B31D1559001,1464,117494.0,462098.0
NPD-PB14001,1873,220619.0,535022.0
B45E0352001,2907,166924.0,414182.0
B32E0306001,1952,166611.0,472965.0
ROODEBRAND-PB5001,49,232480.0,534555.0
NPD-PB4001,508,222169.0,532409.0
B45D0322002,1636,149988.0,408600.0
B41A0551001,2556,222444.0,442349.0
28CG001A001,867,220062.0,486623.0
B33G1191001,2020,202650.0,461351.0
28CG002A001,988,220288.0,485668.0
9037_PBF001,1088,88616.23,402060.93
27HG800A001,863,218151.0,487260.0
B27H0429001,2984,218199.0,481692.0
B34C1152001,1722,226424.0,459090.0
PEEL0023_2,2917,178761.0,392164.0
REESTDAL-PB6001,253,222892.0,513597.0
B33H1524001,2686,217846.0,460466.0
B52B1810001,2977,190711.0,398147.0
LOP Beernink B4_1428_FT1_WATHTE_m_NAP_GW_DagGem001,463,234408.0,454215.0
B33G1191002,2020,202650.0,461351.0
B34D1396001,2268,237453.0,455688.0
17AL850301001,496,220160.0,547823.0
B41B0484001,2027,234802.97,448191.56
B21F0735001,1767,219688.0,518884.0
2191_PBF1001,1284,127703.0,410270.0
B41B0467001,286,235024.0,442205.0
B12D2025001,29,234720.0,552958.0
5225_PBF001,2005,111090.0,405052.0
B41B0480001,1251,239090.0,448224.0
B32E1313001,275,167961.0,469507.0
B17D0162001,1716,230540.0,525030.0
B32E1314001,2016,167690.0,468037.0
GOOR002001,1665,173584.0,386425.0
28AC411A001,1175,224255.0,488144.0
9069_PBF001,1387,111336.044,405669.734
27HG901B001,927,219944.0,486573.0
B12D2032001,277,232866.0,552071.0
B12D2026001,29,234892.0,553367.0
B33F1221001,981,216766.0,471556.0
B32E1312001,1476,168295.0,469011.0
B41A0553001,2790,223256.0,441730.0
BBEE003001,38,176254.0,389794.0
B23A0767001,1786,264159.0,520493.0
MIDDENLOOP-PBC001,1531,213438.0,543848.0
B22D0220001,2543,235100.0,509020.0
B46C0211001,2795,181380.0,400210.0
27HC504A001,2801,215161.0,482944.0
B32E0210001,1935,166820.0,465990.0
PB18001,1637,73805.2,442402.3
B49F0434001,325,92017.0,396423.0
NPD-PB7ONDIEP001,918,222036.0,531787.0
