key,som_key,lon,lat
B51C0377001,2749,145830.0,380380.0
B15F0226001,38,176750.0,547480.0
B52D1910001,1315,190210.0,381293.0
PEVE036004,1315,190210.0,381293.0
B60B0105001,2798,198953.0,349848.0
B57A0035001,2755,148428.0,366032.0
B41F0251001,2933,250636.0,442670.0
B50E0172001,1177,125535.0,394677.0
B58G0149001,2635,206589.0,350964.0
B52E0093002,2976,201057.0,392766.0
B52G1354001,1989,207535.0,383479.0
17CC512A001,1400,225897.0,525419.0
B39F0556001,1600,177340.0,449560.0
B21H0084003,2069,210339.19,500182.6
B22C0107002,1954,221770.39,508710.94
B40F0487002,2496,219749.5,448787.7
B40F0334001,2533,212690.0,437890.0
B27F0055001,2789,212200.0,490510.0
B40F0301002,1589,218869.2037,449962.4932
B41C0063002,2082,228650.0,433500.0
B28F0155001,1914,251465.98,492446.67
B28F0135001,416,250474.78,494537.56
B41D0035002,2086,230560.0,432690.0
B27G0143002,2010,209205.13,486898.5
B34B0205001,529,234340.45,474135.43
B40H0096002,2409,214260.0,437065.0
B28F0160001,1132,252146.45,492038.91
B57B0044001,595,157973.0,372479.0
B41B0165001,1130,237900.0,445120.0
B28C0204001,1602,226893.67,485364.37
B32H0113003,2833,173020.0,455100.0
B28C0168002,1241,228185.39,477107.78
B28E0088001,1128,248972.56,497231.73
B50F0102001,1787,137204.0,392269.0
B33C0077003,2953,180621.92,452741.64
B28C0331001,2233,222702.34,483355.45
B28D0096001,1665,230535.52,476184.39
B28B0156001,1119,234721.89,491505.61
B46B0031001,175,195280.0,422480.0
B28C0247003,1723,229311.01,476598.75
B32A0386004,2539,146696.0,469253.0
B34C0050001,2180,220240.0,461270.0
B39B0330002,2473,159012.45,446946.28
B27H0060002,1773,210268.87,479305.81
B22C0130002,573,223955.54,510033.42
B33F0185001,2198,215740.0,467150.0
B27H0103001,2731,219227.8,478425.91
B34C0099001,1993,229078.2419,456007.2957
B32A0456004,2836,144508.0,468039.0
B34B0370001,1060,233374.45,474325.63
B45E0311004,2312,166841.0,417388.0
B34C0319001,1231,226275.45,459046.59
